' ', 0.194638, 00
'h', 0.047737, 0100
'\n', 0.024299, 01010
'm', 0.012843, 010110
':', 0.001569, 010111000
'W', 0.001596, 010111001
'T', 0.003179, 01011101
'.', 0.006580, 0101111
'o', 0.053643, 0110
'a', 0.054882, 0111
'f', 0.012971, 100000
'N', 0.000808, 1000010000
'*', 0.000404, 10000100010
'P', 0.000431, 10000100011
'q', 0.000842, 1000010010
'J', 0.000054, 1000010011000
'X', 0.000027, 100001001100100
'_', 0.000027, 100001001100101
']', 0.000013, 1000010011001100
'[', 0.000013, 1000010011001101
'9', 0.000007, 10000100110011100
'2', 0.000007, 10000100110011101
'\x1a', 0.000007, 10000100110011110
'Z', 0.000007, 10000100110011111
'V', 0.000283, 100001001101
'U', 0.000445, 10000100111
'j', 0.000929, 1000010100
'R', 0.000943, 1000010101
'H', 0.001913, 100001011
'k', 0.007247, 1000011
'y', 0.014480, 100010
'c', 0.015174, 100011
'l', 0.031081, 10010
'd', 0.031917, 10011
'`', 0.007462, 1010000
'x', 0.000970, 1010001000
'C', 0.000970, 1010001001
'F', 0.000498, 10100010100
'z', 0.000519, 10100010101
'G', 0.000552, 10100010110
'K', 0.000552, 10100010111
'A', 0.004297, 10100011
',', 0.016285, 101001
'w', 0.016413, 101010
'g', 0.016473, 101011
't', 0.068776, 1011
'r', 0.035648, 11000
'b', 0.009314, 1100100
'-', 0.004506, 11001010
'Q', 0.000566, 11001011000
'B', 0.000613, 11001011001
'O', 0.001185, 1100101101
'E', 0.001266, 1100101110
'D', 0.001293, 1100101111
'p', 0.009819, 1100110
'I', 0.004937, 11001110
'v', 0.005408, 11001111
's', 0.042275, 11010
'i', 0.045649, 11011
'e', 0.090119, 1110
'u', 0.022912, 111100
';', 0.001307, 1111010000
'M', 0.001347, 1111010001
'?', 0.001360, 1111010010
'L', 0.000660, 11110100110
')', 0.000370, 111101001110
'(', 0.000377, 111101001111
'S', 0.001468, 1111010100
'"', 0.000761, 11110101010
'Y', 0.000768, 11110101011
'!', 0.003024, 111101011
"'", 0.011860, 1111011
'n', 0.046423, 11111
